Item_ID,Item
1,Egg McMuffin
2,Egg White Delight
3,Sausage McMuffin
4,Sausage McMuffin with Egg
5,Sausage McMuffin with Egg Whites
6,Steak & Egg McMuffin
7,"Bacon, Egg & Cheese Biscuit (Regular Biscuit)"
8,"Bacon, Egg & Cheese Biscuit (Large Biscuit)"
9,"Bacon, Egg & Cheese Biscuit with Egg Whites (Regular Biscuit)"
10,"Bacon, Egg & Cheese Biscuit with Egg Whites (Large Biscuit)"
11,Sausage Biscuit (Regular Biscuit)
12,Sausage Biscuit (Large Biscuit)
13,Sausage Biscuit with Egg (Regular Biscuit)
14,Sausage Biscuit with Egg (Large Biscuit)
15,Sausage Biscuit with Egg Whites (Regular Biscuit)
16,Sausage Biscuit with Egg Whites (Large Biscuit)
17,Southern Style Chicken Biscuit (Regular Biscuit)
18,Southern Style Chicken Biscuit (Large Biscuit)
19,Steak & Egg Biscuit (Regular Biscuit)
20,"Bacon, Egg & Cheese McGriddles"
21,"Bacon, Egg & Cheese McGriddles with Egg Whites"
22,Sausage McGriddles
23,"Sausage, Egg & Cheese McGriddles"
24,"Sausage, Egg & Cheese McGriddles with Egg Whites"
25,"Bacon, Egg & Cheese Bagel"
26,"Bacon, Egg & Cheese Bagel with Egg Whites"
27,"Steak, Egg & Cheese Bagel"
28,Big Breakfast (Regular Biscuit)
29,Big Breakfast (Large Biscuit)
30,Big Breakfast with Egg Whites (Regular Biscuit)
31,Big Breakfast with Egg Whites (Large Biscuit)
32,Big Breakfast with Hotcakes (Regular Biscuit)
33,Big Breakfast with Hotcakes (Large Biscuit)
34,Big Breakfast with Hotcakes and Egg Whites (Regular Biscuit)
35,Big Breakfast with Hotcakes and Egg Whites (Large Biscuit)
36,Hotcakes
37,Hotcakes and Sausage
38,Sausage Burrito
39,Hash Brown
40,Cinnamon Melts
41,Fruit & Maple Oatmeal
42,Fruit & Maple Oatmeal without Brown Sugar
43,Big Mac
44,Quarter Pounder with Cheese
45,Quarter Pounder with Bacon & Cheese
46,Quarter Pounder with Bacon Habanero Ranch
47,Quarter Pounder Deluxe
48,Double Quarter Pounder with Cheese
49,Hamburger
50,Cheeseburger
51,Double Cheeseburger
52,Bacon Clubhouse Burger
53,McDouble
54,Bacon McDouble
55,Daily Double
56,Jalapeno Double
57,McRib
58,Premium Crispy Chicken Classic Sandwich
59,Premium Grilled Chicken Classic Sandwich
60,Premium Crispy Chicken Club Sandwich
61,Premium Grilled Chicken Club Sandwich
62,Premium Crispy Chicken Ranch BLT Sandwich
63,Premium Grilled Chicken Ranch BLT Sandwich
64,Bacon Clubhouse Crispy Chicken Sandwich
65,Bacon Clubhouse Grilled Chicken Sandwich
66,Southern Style Crispy Chicken Sandwich
67,McChicken
68,Bacon Cheddar McChicken
69,Bacon Buffalo Ranch McChicken
70,Buffalo Ranch McChicken
71,Premium McWrap Chicken & Bacon (Crispy Chicken)
72,Premium McWrap Chicken & Bacon (Grilled Chicken)
73,Premium McWrap Chicken & Ranch (Crispy Chicken)
74,Premium McWrap Chicken & Ranch (Grilled Chicken)
75,Premium McWrap Southwest Chicken (Crispy Chicken)
76,Premium McWrap Southwest Chicken (Grilled Chicken)
77,Premium McWrap Chicken Sweet Chili (Crispy Chicken)
78,Premium McWrap Chicken Sweet Chili (Grilled Chicken)
79,Chicken McNuggets (4 piece)
80,Chicken McNuggets (6 piece)
81,Chicken McNuggets (10 piece)
82,Chicken McNuggets (20 piece)
83,Chicken McNuggets (40 piece)
84,Filet O Fish
85,Premium Bacon Ranch Salad (without Chicken)
86,Premium Bacon Ranch Salad with Crispy Chicken
87,Premium Bacon Ranch Salad with Grilled Chicken
88,Premium Southwest Salad (without Chicken)
89,Premium Southwest Salad with Crispy Chicken
90,Premium Southwest Salad with Grilled Chicken
91,Chipotle BBQ Snack Wrap (Crispy Chicken)
92,Chipotle BBQ Snack Wrap (Grilled Chicken)
93,Honey Mustard Snack Wrap (Crispy Chicken)
94,Honey Mustard Snack Wrap (Grilled Chicken)
95,Ranch Snack Wrap (Crispy Chicken)
96,Ranch Snack Wrap (Grilled Chicken)
97,Small French Fries
98,Medium French Fries
99,Large French Fries
100,Kids French Fries
101,Side Salad
102,Apple Slices
103,Fruit 'n Yogurt Parfait
104,Baked Apple Pie
105,Chocolate Chip Cookie
106,Oatmeal Raisin Cookie
107,Kids Ice Cream Cone
108,Hot Fudge Sundae
109,Hot Caramel Sundae
110,Strawberry Sundae
111,Coca Cola Classic (Small)
112,Coca Cola Classic (Medium)
113,Coca Cola Classic (Large)
114,Coca Cola Classic (Child)
115,Diet Coke (Small)
116,Diet Coke (Medium)
117,Diet Coke (Large)
118,Diet Coke (Child)
119,Dr Pepper (Small)
120,Dr Pepper (Medium)
121,Dr Pepper (Large)
122,Dr Pepper (Child)
123,Diet Dr Pepper (Small)
124,Diet Dr Pepper (Medium)
125,Diet Dr Pepper (Large)
126,Diet Dr Pepper (Child)
127,Sprite (Small)
128,Sprite (Medium)
129,Sprite (Large)
130,Sprite (Child)
131,1% Low Fat Milk Jug
132,Fat Free Chocolate Milk Jug
133,Minute Maid 100% Apple Juice Box
134,Minute Maid Orange Juice (Small)
135,Minute Maid Orange Juice (Medium)
