"Activity, Exercise or Sport (1 hour)",Intensitiveness,60kg,70kg,81kg,92kg
Aerobic class,NONE,354,422,490,558
Aerobics,Low Impact,295,352,409,465
Aerobics,High Impact,413,493,572,651
Aerobics,Step Aerobics,502,598,695,791
Aerobics,General,384,457,531,605
Archery,NONE,207,246,286,326
Backpacking,Hiking With Pack,413,493,572,651
Badminton,NONE,266,317,368,419
Bagging grass,NONE,236,281,327,372
Ballet,NONE,266,317,368,419
Ballroom dancing,Slow,177,211,245,279
Ballroom dancing,Fast,325,387,449,512
BaseBall,Playing Catch,148,176,204,233
Baseball,NONE,295,352,409,465
Basketball,Officiating,413,493,572,651
Basketball,Shooting Baskets,266,317,368,419
Basketball,Wheelchair,384,457,531,605
Basketball game,Competitive,472,563,654,745
Basketball game,Non Game,354,422,490,558
Bathing dog,NONE,207,246,286,326
Billiards,NONE,148,176,204,233
Bird watching,NONE,148,176,204,233
Boating,NONE,148,176,204,233
Bowling,NONE,177,211,245,279
Boxing,In Ring,708,844,981,1117
Boxing,Punching Bag,354,422,490,558
Boxing,Sparring,531,633,735,838
Canoeing,Camping Trip,236,281,327,372
Canoeing,Light,177,211,245,279
Canoeing,Moderate,413,493,572,651
Canoeing,Vigorous,708,844,981,1117
Carpentry,NONE,207,246,286,326
Carrying heavy loads,NONE,472,563,654,745
Carrying infant,Ground level,207,246,286,326
Carrying infant,<7kg Upstairs,295,352,409,465
Carrying infant,7-10kg Upstairs,354,422,490,558
Carrying infant,10-22kg Upstairs,472,563,654,745
Carrying moderate loads upstairs,NONE,472,563,654,745
Carrying small children,NONE,177,211,245,279
Children's games,NONE,295,352,409,465
Circuit training,Minimal Rest,472,563,654,745
Cleaning,NONE,148,176,204,233
Cleaning gutters,NONE,295,352,409,465
Climbing hills,Carrying Up To 4kg,413,493,572,651
Climbing hills,Carrying 4.5-9kg,443,528,613,698
Climbing hills,Carrying 9.5-19kg,472,563,654,745
Climbing hills,Carrying 19+ kg,531,633,735,838
Competitive Rowing   ,NONE,708,844,981,1117
Cricket,Batting / Bowling,295,352,409,465
Croquet,NONE,148,176,204,233
Cross country skiing,Moderate,472,563,654,745
Cross country skiing,Vigorous,531,633,735,838
Cross country skiing,Racing,826,985,1144,1303
Cross country skiing,Uphill,974,1161,1348,1536
Cross country snow skiing,Slow,413,493,572,651
Curling,NONE,236,281,327,372
Cycling,< 16 kmh,236,281,327,372
Cycling,> 32 kmh,944,1126,1308,1489
Cycling,16-19kmh,354,422,490,558
Cycling,19-22kmh,472,563,654,745
Cycling,22-25kmh,590,704,817,931
Cycling,25-30kmh,708,844,981,1117
"Cycling, mountain bike, bmx",NONE,502,598,695,791
Darts,Wall / Lawn,148,176,204,233
Diving,NONE,177,211,245,279
Fencing,NONE,354,422,490,558
Frisbee,Ultimate Frisbee,472,563,654,745
Frisbee ,General,177,211,245,279
Gardening,General,236,281,327,372
General cleaning,NONE,207,246,286,326
General housework,NONE,207,246,286,326
Golf,General,266,317,368,419
Golf,Walking And Carrying Clubs,266,317,368,419
Golf,Driving Range,177,211,245,279
Golf,Miniature Golf,177,211,245,279
Golf,Walking And Pulling Clubs,254,303,351,400
Golf,Using Power Cart,207,246,286,326
Gymnastics,NONE,236,281,327,372
Hacky sack,NONE,236,281,327,372
Handball,Singles,708,844,981,1117
Handball,Team,472,563,654,745
Health club exercise,NONE,325,387,449,512
Hiking,NONE,354,422,490,558
Hockey,Field Hockey,472,563,654,745
Hockey,Ice Hockey,472,563,654,745
Horesback riding,Saddling Horse,207,246,286,326
Horse grooming,Moderate,354,422,490,558
Horse racing,Galloping,472,563,654,745
Horseback riding,Grooming Horse,207,246,286,326
Horseback riding,Trotting,384,457,531,605
Horseback riding,Walking,148,176,204,233
Horseshoe pitching,NONE,177,211,245,279
Ice skating,<15kmh,325,387,449,512
Ice skating,Average Speed,413,493,572,651
Ice skating,Rapidly,531,633,735,838
Jai alai,NONE,708,844,981,1117
Jazzercise,NONE,354,422,490,558
Juggling,NONE,236,281,327,372
Jumping rope,Fast,708,844,981,1117
Jumping rope,Moderate,590,704,817,931
Jumping rope,Slow,472,563,654,745
Kayaking,NONE,295,352,409,465
Kickball,NONE,413,493,572,651
Krav maga training,Maga Training,590,704,817,931
Lacrosse,NONE,472,563,654,745
"Loading, unloading car",NONE,177,211,245,279
Martial arts, judo/ karate /  jujitsu,590,704,817,931
Martial arts,Kick Boxing,590,704,817,931
Martial arts,Tae Kwan Do,590,704,817,931
Mild stretching,NONE,148,176,204,233
Military March,NONE,384,457,531,605
