Brand,Category,Item,Serving Size,Calories,Total Fat,Cholesterol,Sodium,Carbohydrates,Sugars,Protein
McDonald's,Breakfast,Egg McMuffin,136 g,300,13,260,750,31,3,17
McDonald's,Breakfast,Egg White Delight,135 g,250,8,25,770,30,3,18
McDonald's,Breakfast,Sausage McMuffin,111 g,370,23,45,780,29,2,14
McDonald's,Breakfast,Sausage McMuffin with Egg,161 g,450,28,285,860,30,2,21
McDonald's,Breakfast,Sausage McMuffin with Egg Whites,161 g,400,23,50,880,30,2,21
McDonald's,Breakfast,Steak & Egg McMuffin,185 g,430,23,300,960,31,3,26
McDonald's,Breakfast,"Bacon, Egg & Cheese Biscuit (Regular Biscuit)",150 g,460,26,250,1300,38,3,19
McDonald's,Breakfast,"Bacon, Egg & Cheese Biscuit (Large Biscuit)",164 g,520,30,250,1410,43,4,19
McDonald's,Breakfast,"Bacon, Egg & Cheese Biscuit with Egg Whites (Regular Biscuit)",153 g,410,20,35,1300,36,3,20
McDonald's,Breakfast,"Bacon, Egg & Cheese Biscuit with Egg Whites (Large Biscuit)",167 g,470,25,35,1420,42,4,20
McDonald's,Breakfast,Sausage Biscuit (Regular Biscuit),117 g,430,27,30,1080,34,2,11
McDonald's,Breakfast,Sausage Biscuit (Large Biscuit),131 g,480,31,30,1190,39,3,11
McDonald's,Breakfast,Sausage Biscuit with Egg (Regular Biscuit),163 g,510,33,250,1170,36,2,18
McDonald's,Breakfast,Sausage Biscuit with Egg (Large Biscuit),177 g,570,37,250,1280,42,3,18
McDonald's,Breakfast,Sausage Biscuit with Egg Whites (Regular Biscuit),167 g,460,27,35,1180,34,3,18
McDonald's,Breakfast,Sausage Biscuit with Egg Whites (Large Biscuit),181 g,520,32,35,1290,40,3,18
McDonald's,Breakfast,Southern Style Chicken Biscuit (Regular Biscuit),143 g,410,20,30,1180,41,3,17
McDonald's,Breakfast,Southern Style Chicken Biscuit (Large Biscuit),157 g,470,24,30,1290,46,4,17
McDonald's,Breakfast,Steak & Egg Biscuit (Regular Biscuit),201 g,540,32,280,1470,38,3,25
McDonald's,Breakfast,"Bacon, Egg & Cheese McGriddles",174 g,460,21,250,1250,48,15,19
McDonald's,Breakfast,"Bacon, Egg & Cheese McGriddles with Egg Whites",178 g,400,15,35,1250,47,16,20
McDonald's,Breakfast,Sausage McGriddles,141 g,420,22,35,1030,44,15,11
McDonald's,Breakfast,"Sausage, Egg & Cheese McGriddles",201 g,550,31,265,1320,48,15,20
McDonald's,Breakfast,"Sausage, Egg & Cheese McGriddles with Egg Whites",205 g,500,26,50,1320,46,15,21
McDonald's,Breakfast,"Bacon, Egg & Cheese Bagel",197 g,620,31,275,1480,57,7,30
McDonald's,Breakfast,"Bacon, Egg & Cheese Bagel with Egg Whites",201 g,570,25,60,1480,55,8,30
McDonald's,Breakfast,"Steak, Egg & Cheese Bagel",241 g,670,35,295,1510,56,7,33
McDonald's,Breakfast,Big Breakfast (Regular Biscuit),269 g,740,48,555,1560,51,3,28
McDonald's,Breakfast,Big Breakfast (Large Biscuit),283 g,800,52,555,1680,56,3,28
McDonald's,Breakfast,Big Breakfast with Egg Whites (Regular Biscuit),272 g,640,37,35,1590,50,3,26
McDonald's,Breakfast,Big Breakfast with Egg Whites (Large Biscuit),286 g,690,41,35,1700,55,4,26
McDonald's,Breakfast,Big Breakfast with Hotcakes (Regular Biscuit),420 g,1090,56,575,2150,111,17,36
McDonald's,Breakfast,Big Breakfast with Hotcakes (Large Biscuit),434 g,1150,60,575,2260,116,17,36
McDonald's,Breakfast,Big Breakfast with Hotcakes and Egg Whites (Regular Biscuit),423 g,990,46,55,2170,110,17,35
McDonald's,Breakfast,Big Breakfast with Hotcakes and Egg Whites (Large Biscuit),437 g,1050,50,55,2290,115,18,35
McDonald's,Breakfast,Hotcakes,151 g,350,9,20,590,60,14,8
McDonald's,Breakfast,Hotcakes and Sausage,192 g,520,24,50,930,61,14,15
McDonald's,Breakfast,Sausage Burrito,111 g,300,16,115,790,26,2,12
McDonald's,Breakfast,Hash Brown,56 g,150,9,0,310,15,0,1
McDonald's,Breakfast,Cinnamon Melts,114 g,460,19,15,370,66,32,6
McDonald's,Breakfast,Fruit & Maple Oatmeal,251 g,290,4,5,160,58,32,5
McDonald's,Breakfast,Fruit & Maple Oatmeal without Brown Sugar,251 g,260,4,5,115,49,18,5
McDonald's,Beef & Pork,Big Mac,211 g,530,27,85,960,47,9,24
McDonald's,Beef & Pork,Quarter Pounder with Cheese,202 g,520,26,95,1100,41,10,30
McDonald's,Beef & Pork,Quarter Pounder with Bacon & Cheese,227 g,600,29,105,1440,48,12,37
McDonald's,Beef & Pork,Quarter Pounder with Bacon Habanero Ranch,235 g,610,31,105,1180,46,10,37
McDonald's,Beef & Pork,Quarter Pounder Deluxe,244 g,540,27,85,960,45,9,29
McDonald's,Beef & Pork,Double Quarter Pounder with Cheese,283 g,750,43,160,1280,42,10,48
McDonald's,Beef & Pork,Hamburger,98 g,240,8,30,480,32,6,12
McDonald's,Beef & Pork,Cheeseburger,113 g,290,11,45,680,33,7,15
McDonald's,Beef & Pork,Double Cheeseburger,161 g,430,21,90,1040,35,7,24
McDonald's,Beef & Pork,Bacon Clubhouse Burger,270 g,720,40,115,1470,51,14,39
McDonald's,Beef & Pork,McDouble,147 g,380,17,75,840,34,7,22
McDonald's,Beef & Pork,Bacon McDouble,161 g,440,22,90,1110,35,7,27
McDonald's,Beef & Pork,Daily Double,190 g,430,22,80,760,34,7,22
McDonald's,Beef & Pork,Jalapeño Double,159 g,430,23,80,1030,35,6,22
McDonald's,Beef & Pork,McRib,208 g,500,26,70,980,44,11,22
McDonald's,Chicken & Fish,Premium Crispy Chicken Classic Sandwich,213 g,510,22,45,990,55,10,24
McDonald's,Chicken & Fish,Premium Grilled Chicken Classic Sandwich,200 g,350,9,65,820,42,8,28
McDonald's,Chicken & Fish,Premium Crispy Chicken Club Sandwich,249 g,670,33,85,1410,58,11,36
McDonald's,Chicken & Fish,Premium Grilled Chicken Club Sandwich,235 g,510,20,105,1250,44,9,40
McDonald's,Chicken & Fish,Premium Crispy Chicken Ranch BLT Sandwich,230 g,610,28,70,1400,57,11,32
McDonald's,Chicken & Fish,Premium Grilled Chicken Ranch BLT Sandwich,217 g,450,15,90,1230,43,9,36
McDonald's,Chicken & Fish,Bacon Clubhouse Crispy Chicken Sandwich,284 g,750,38,90,1720,65,16,36
McDonald's,Chicken & Fish,Bacon Clubhouse Grilled Chicken Sandwich,270 g,590,25,110,1560,51,14,40
McDonald's,Chicken & Fish,Southern Style Crispy Chicken Sandwich,160 g,430,19,45,910,43,7,21
McDonald's,Chicken & Fish,McChicken,143 g,360,16,35,800,40,5,14
McDonald's,Chicken & Fish,Bacon Cheddar McChicken,171 g,480,24,65,1260,43,6,22
McDonald's,Chicken & Fish,Bacon Buffalo Ranch McChicken,161 g,430,21,50,1260,41,6,20
McDonald's,Chicken & Fish,Buffalo Ranch McChicken,148 g,360,16,35,990,40,5,14
McDonald's,Chicken & Fish,Premium McWrap Chicken & Bacon (Crispy Chicken),316 g,630,32,80,1540,56,7,32
McDonald's,Chicken & Fish,Premium McWrap Chicken & Bacon (Grilled Chicken),302 g,480,19,95,1370,42,6,36
McDonald's,Chicken & Fish,Premium McWrap Chicken & Ranch (Crispy Chicken),310 g,610,31,65,1340,56,8,27
McDonald's,Chicken & Fish,Premium McWrap Chicken & Ranch (Grilled Chicken),297 g,450,18,80,1170,42,6,30
McDonald's,Chicken & Fish,Premium McWrap Southwest Chicken (Crispy Chicken),314 g,670,33,60,1480,68,12,27
