Brand,Category,Item,Serving Size,Calories,Total Fat,Cholesterol (mg), Sodium (mg), Total Carbohydrates (g) , Sugars (g), Protein (g) ,Caffeine (mg)
Starbucks,Coffee & Tea,Brewed Coffee,Short,3,0.1,0,0,5,0,0.3,175
Starbucks,Coffee & Tea,Brewed Coffee,Tall,4,0.1,0,0,10,0,0.5,260
Starbucks,Coffee & Tea,Brewed Coffee,Grande,5,0.1,0,0,10,0,1,330
Starbucks,Coffee & Tea,Brewed Coffee,Venti,5,0.1,0,0,10,0,1,410
Starbucks,Coffee & Tea,Caffe Latte,Short Nonfat Milk,70,0.1,10,5,75,9,6,75
Starbucks,Coffee & Tea,Caffe Latte,2% Milk,100,3.5,10,15,85,9,6,75
Starbucks,Coffee & Tea,Caffe Latte,Soymilk,70,2.5,6,0,65,4,5,75
Starbucks,Coffee & Tea,Caffe Latte,Tall Nonfat Milk,100,0.2,15,5,120,14,10,75
Starbucks,Coffee & Tea,Caffe Latte,2% Milk,150,6,15,25,135,14,10,75
Starbucks,Coffee & Tea,Caffe Latte,Soymilk,110,4.5,10,0,105,6,8,75
Starbucks,Coffee & Tea,Caffe Latte,Grande Nonfat Milk,130,0.3,19,5,150,18,13,150
Starbucks,Coffee & Tea,Caffe Latte,2% Milk,190,7,19,30,170,17,12,150
Starbucks,Coffee & Tea,Caffe Latte,Soymilk,150,5,13,0,130,8,10,150
Starbucks,Coffee & Tea,Caffe Latte,Venti Nonfat Milk,170,0.4,25,10,190,23,16,150
Starbucks,Coffee & Tea,Caffe Latte,2% Milk,240,9,24,35,220,22,16,150
Starbucks,Coffee & Tea,Caffe Latte,Soymilk,190,7,16,0,170,11,13,150
Starbucks,Coffee & Tea,Caffe Mocha (Without Whipped Cream),Short Nonfat Milk,110,1.5,21,5,60,17,7,85
Starbucks,Coffee & Tea,Caffe Mocha (Without Whipped Cream),2% Milk,130,4,21,10,70,17,6,85
Starbucks,Coffee & Tea,Caffe Mocha (Without Whipped Cream),Soymilk,110,3.5,19,0,55,13,6,85
Starbucks,Coffee & Tea,Caffe Mocha (Without Whipped Cream),Tall Nonfat Milk,170,2,32,5,100,27,10,95
Starbucks,Coffee & Tea,Caffe Mocha (Without Whipped Cream),2% Milk,200,6,32,20,115,26,10,95
Starbucks,Coffee & Tea,Caffe Mocha (Without Whipped Cream),Soymilk,180,5,28,0,85,20,9,95
Starbucks,Coffee & Tea,Caffe Mocha (Without Whipped Cream),Grande Nonfat Milk,220,2.5,43,5,125,34,13,175
Starbucks,Coffee & Tea,Caffe Mocha (Without Whipped Cream),2% Milk,260,8,42,25,140,34,13,175
Starbucks,Coffee & Tea,Caffe Mocha (Without Whipped Cream),Soymilk,230,7,37,0,105,26,11,175
Starbucks,Coffee & Tea,Caffe Mocha (Without Whipped Cream),Venti Nonfat Milk,280,3,54,10,160,44,17,180
Starbucks,Coffee & Tea,Caffe Mocha (Without Whipped Cream),2% Milk,340,11,53,30,180,43,17,180
Starbucks,Coffee & Tea,Caffe Mocha (Without Whipped Cream),Soymilk,290,9,47,0,140,33,14,180
Starbucks,Coffee & Tea,Vanilla Latte (Or Other Flavoured Latte),Short Nonfat Milk,100,0.1,19,5,70,18,6,75
Starbucks,Coffee & Tea,Vanilla Latte (Or Other Flavoured Latte),2% Milk,130,3.5,18,15,80,17,6,75
