ID,Brand_ID,Category_ID,Item_ID,Serving Size,Calories,Total Fat,Cholesterol,Sodium,Carbohydrates,Sugars,Protein,Caffeine
1,1,1,1,136 g,300,13,260,750,31,3,17,0
2,1,1,2,135 g,250,8,25,770,30,3,18,0
3,1,1,3,111 g,370,23,45,780,29,2,14,0
4,1,1,4,161 g,450,28,285,860,30,2,21,0
5,1,1,5,161 g,400,23,50,880,30,2,21,0
6,1,1,6,185 g,430,23,300,960,31,3,26,0
7,1,1,7,150 g,460,26,250,1300,38,3,19,0
8,1,1,8,164 g,520,30,250,1410,43,4,19,0
9,1,1,9,153 g,410,20,35,1300,36,3,20,0
10,1,1,10,167 g,470,25,35,1420,42,4,20,0
11,1,1,11,117 g,430,27,30,1080,34,2,11,0
12,1,1,12,131 g,480,31,30,1190,39,3,11,0
13,1,1,13,163 g,510,33,250,1170,36,2,18,0
14,1,1,14,177 g,570,37,250,1280,42,3,18,0
15,1,1,15,167 g,460,27,35,1180,34,3,18,0
16,1,1,16,181 g,520,32,35,1290,40,3,18,0
17,1,1,17,143 g,410,20,30,1180,41,3,17,0
18,1,1,18,157 g,470,24,30,1290,46,4,17,0
19,1,1,19,201 g,540,32,280,1470,38,3,25,0
20,1,1,20,174 g,460,21,250,1250,48,15,19,0
21,1,1,21,178 g,400,15,35,1250,47,16,20,0
22,1,1,22,141 g,420,22,35,1030,44,15,11,0
23,1,1,23,201 g,550,31,265,1320,48,15,20,0
24,1,1,24,205 g,500,26,50,1320,46,15,21,0
25,1,1,25,197 g,620,31,275,1480,57,7,30,0
26,1,1,26,201 g,570,25,60,1480,55,8,30,0
27,1,1,27,241 g,670,35,295,1510,56,7,33,0
28,1,1,28,269 g,740,48,555,1560,51,3,28,0
29,1,1,29,283 g,800,52,555,1680,56,3,28,0
30,1,1,30,272 g,640,37,35,1590,50,3,26,0
31,1,1,31,286 g,690,41,35,1700,55,4,26,0
32,1,1,32,420 g,1090,56,575,2150,111,17,36,0
33,1,1,33,434 g,1150,60,575,2260,116,17,36,0
34,1,1,34,423 g,990,46,55,2170,110,17,35,0
35,1,1,35,437 g,1050,50,55,2290,115,18,35,0
36,1,1,36,151 g,350,9,20,590,60,14,8,0
37,1,1,37,192 g,520,24,50,930,61,14,15,0
38,1,1,38,111 g,300,16,115,790,26,2,12,0
39,1,1,39,56 g,150,9,0,310,15,0,1,0
40,1,1,40,114 g,460,19,15,370,66,32,6,0
41,1,1,41,251 g,290,4,5,160,58,32,5,0
42,1,1,42,251 g,260,4,5,115,49,18,5,0
43,1,2,43,211 g,530,27,85,960,47,9,24,0
44,1,2,44,202 g,520,26,95,1100,41,10,30,0
45,1,2,45,227 g,600,29,105,1440,48,12,37,0
46,1,2,46,235 g,610,31,105,1180,46,10,37,0
47,1,2,47,244 g,540,27,85,960,45,9,29,0
48,1,2,48,283 g,750,43,160,1280,42,10,48,0
49,1,2,49,98 g,240,8,30,480,32,6,12,0
50,1,2,50,113 g,290,11,45,680,33,7,15,0
51,1,2,51,161 g,430,21,90,1040,35,7,24,0
52,1,2,52,270 g,720,40,115,1470,51,14,39,0
53,1,2,53,147 g,380,17,75,840,34,7,22,0
54,1,2,54,161 g,440,22,90,1110,35,7,27,0
55,1,2,55,190 g,430,22,80,760,34,7,22,0
56,1,2,56,159 g,430,23,80,1030,35,6,22,0
57,1,2,57,208 g,500,26,70,980,44,11,22,0
58,1,3,58,213 g,510,22,45,990,55,10,24,0
59,1,3,59,200 g,350,9,65,820,42,8,28,0
60,1,3,60,249 g,670,33,85,1410,58,11,36,0
61,1,3,61,235 g,510,20,105,1250,44,9,40,0
62,1,3,62,230 g,610,28,70,1400,57,11,32,0
63,1,3,63,217 g,450,15,90,1230,43,9,36,0
64,1,3,64,284 g,750,38,90,1720,65,16,36,0
65,1,3,65,270 g,590,25,110,1560,51,14,40,0
66,1,3,66,160 g,430,19,45,910,43,7,21,0
67,1,3,67,143 g,360,16,35,800,40,5,14,0
68,1,3,68,171 g,480,24,65,1260,43,6,22,0
69,1,3,69,161 g,430,21,50,1260,41,6,20,0
70,1,3,70,148 g,360,16,35,990,40,5,14,0
71,1,3,71,316 g,630,32,80,1540,56,7,32,0
72,1,3,72,302 g,480,19,95,1370,42,6,36,0
73,1,3,73,310 g,610,31,65,1340,56,8,27,0
74,1,3,74,297 g,450,18,80,1170,42,6,30,0
75,1,3,75,314 g,670,33,60,1480,68,12,27,0
76,1,3,76,318 g,520,20,80,1320,55,10,31,0
77,1,3,77,304 g,540,23,50,1260,61,14,23,0
78,1,3,78,291 g,380,10,65,1090,47,12,27,0
79,1,3,79,65 g,190,12,25,360,12,0,9,0
80,1,3,80,97 g,280,18,40,540,18,0,13,0
81,1,3,81,162 g,470,30,65,900,30,0,22,0
82,1,3,82,323 g,940,59,135,1800,59,0,44,0
