ID,Activity_ID,Description,METs
1,1,"bicycling, mountain, uphill, vigorous",14
2,1,"bicycling, mountain, competitive, racing",16
3,1,"bicycling, BMX",8.5
4,1,"bicycling, mountain, general",8.5
5,1,"bicycling, <16 kmh, leisure, to work or for pleasure",4
6,1,"bicycling, to/from work, self selected pace",6.8
7,1,"bicycling, on dirt or farm road, moderate pace",5.8
8,1,"bicycling, general",7.5
9,1,"bicycling, leisure, 8 kmh",3.5
10,1,"bicycling, leisure, 14 kmh",5.8
11,1,"bicycling, 16-19 kmh, leisure, slow, light effort",6.8
12,1,"bicycling, 19-22 kmh, leisure, moderate effort",8
13,1,"bicycling, 22-26 kmh, racing or leisure, fast, vigorous effort",10
14,1,"bicycling, 26-30 kmh, racing/not drafting or > 30 kmh drafting, very fast, racing general",12
15,1,"bicycling, > 30 kmh, racing, not drafting",15.8
16,1,"bicycling, 20 kmh, seated, hands on brake hoods or bar drops",8.5
17,1,"bicycling, 20 kmh, standing, hands on brake hoods",9
18,1,unicycling,5
19,2,"activity promoting video game (e.g., Wii Fit), light effort (e.g., balance, yoga)",2.3
20,2,"activity promoting video game (e.g., Wii Fit), moderate effort (e.g., aerobic, resistance)",3.8
21,2,"activity promoting video/arcade game (e.g., Exergaming, Dance Dance Revolution), vigorous effort",7.2
22,2,"army type obstacle course exercise, boot camp training program",5
23,2,"bicycling, stationary, general",7
24,2,"bicycling, stationary, 30-50 watts, very light to light effort",3.5
25,2,"bicycling, stationary, 90-100 watts, moderate to vigorous effort",6.8
26,2,"bicycling, stationary, 101-160 watts, vigorous effort",8.8
27,2,"bicycling, stationary, 161-200 watts, vigorous effort",11
28,2,"bicycling, stationary, 201-270 watts, very vigorous effort",14
29,2,"bicycling, stationary, 51-89 watts, light-to-moderate effort",4.8
30,2,"bicycling, stationary, RPM/Spin bike class",8.5
31,2,"calisthenics (e.g., push ups, sit ups, pull-ups, jumping jacks), vigorous effort",8
32,2,"calisthenics (e.g., push ups, sit ups, pull-ups, lunges), moderate effort",3.8
33,2,"calisthenics (e.g., situps, abdominal crunches), light effort",2.8
34,2,"calisthenics, light or moderate effort, general (e.g., back exercises), going up & down from floor ( 150)",3.5
35,2,"circuit training, moderate effort",4.3
36,2,"circuit training, including kettlebells, some aerobic movement with minimal rest, general, vigorous intensity",8
37,2,CurvesTM exercise routines in women ,3.5
38,2,"Elliptical trainer, moderate effort",5
39,2,"resistance training (weight lifting, free weight, nautilus or universal), power lifting or body building, vigorous effort",6
40,2,"resistance (weight) training, squats , slow or explosive effort",5
41,2,"resistance (weight) training, multiple exercises, 8-15 repetitions at varied resistance",3.5
42,2,"health club exercise, general",5.5
43,2,"health club exercise classes, general, gym/weight training combined in one visit",5
44,2,"health club exercise, conditioning classes",7.8
45,2,"home exercise, general",3.8
46,2,"stair-treadmill ergometer, general",9
47,2,"rope skipping, general",12.3
48,2,"rowing, stationary ergometer, general, vigorous effort",6
49,2,"rowing, stationary, general, moderate effort",4.8
50,2,"rowing, stationary, 100 watts, moderate effort",7
51,2,"rowing, stationary, 150 watts, vigorous effort",8.5
52,2,"rowing, stationary, 200 watts, very vigorous effort",12
53,2,"ski machine, general",6.8
54,2,"slide board exercise, general",11
55,2,"slimnastics, jazzercise",6
56,2,"stretching, mild",2.3
57,2,"pilates, general",3
